year,food_code,mod_code,method,method_description,nhanes,price_100gm
2011/2012,11100000,0,4,FNDDS recipe with modified SR codes,NA,0.091897
2011/2012,11111000,0,1,Links to FNDDS,NA,0.094505
2011/2012,11112110,0,1,Links to FNDDS,NA,0.088018
2011/2012,11112210,0,1,Links to FNDDS,NA,0.089206
2011/2012,11113000,0,1,Links to FNDDS,NA,0.088424
2011/2012,11114300,0,1,Links to FNDDS,NA,0.190547
2011/2012,11114320,0,2,Links to altEC,NA,0.191187
2011/2012,11114330,0,1,Links to FNDDS,NA,0.191187
2011/2012,11114350,0,1,Links to FNDDS,NA,0.190805
2011/2012,11115000,0,1,Links to FNDDS,NA,0.302781
2011/2012,11115100,0,1,Links to FNDDS,NA,0.164598
2011/2012,11115200,0,1,Links to FNDDS,NA,0.202687
2011/2012,11115300,0,1,Links to FNDDS,NA,0.183312
2011/2012,11116000,0,1,Links to FNDDS,NA,0.415648
2011/2012,11121300,0,4,FNDDS recipe with modified SR codes,NA,0.011687
2011/2012,11210050,0,1,Links to FNDDS,NA,0.294224
2011/2012,11211050,0,1,Links to FNDDS,NA,0.262291
2011/2012,11212050,0,1,Links to FNDDS,NA,0.328876
2011/2012,11220000,0,1,Links to FNDDS,NA,0.358871
2011/2012,11320000,0,1,Links to FNDDS,NA,0.161115
2011/2012,11320100,0,1,Links to FNDDS,NA,0.129499
2011/2012,11320200,0,2,Links to altEC,NA,0.129499
2011/2012,11321000,0,1,Links to FNDDS,NA,0.169961
2011/2012,11350000,0,1,Links to FNDDS,NA,0.160109
2011/2012,11350010,0,1,Links to FNDDS,NA,0.177798
2011/2012,11410000,0,1,Links to FNDDS,NA,0.669788
2011/2012,11411010,0,1,Links to FNDDS,NA,0.563881
2011/2012,11411100,0,1,Links to FNDDS,NA,0.398249
2011/2012,11411200,0,1,Links to FNDDS,NA,0.422659
2011/2012,11411300,0,1,Links to FNDDS,NA,0.499548
2011/2012,11420000,0,1,Links to FNDDS,NA,0.470545
2011/2012,11421000,0,1,Links to FNDDS,NA,0.51371
2011/2012,11422000,0,1,Links to FNDDS,NA,0.437965
2011/2012,11422100,0,2,Links to altEC,NA,0.382088
2011/2012,11423000,0,1,Links to FNDDS,NA,0.523112
2011/2012,11424000,0,1,Links to FNDDS,NA,0.382088
2011/2012,11427000,0,1,Links to FNDDS,NA,0.184971
2011/2012,11430000,0,1,Links to FNDDS,NA,0.473943
2011/2012,11431000,0,1,Links to FNDDS,NA,0.561702
2011/2012,11432000,0,1,Links to FNDDS,NA,0.423192
2011/2012,11432500,0,1,Links to FNDDS,NA,0.523558
2011/2012,11433000,0,1,Links to FNDDS,NA,0.555317
2011/2012,11433500,0,1,Links to FNDDS,NA,0.381298
2011/2012,11446000,0,1,Links to FNDDS,NA,NA
2011/2012,11460000,0,2,Links to altEC,NA,0.435949
2011/2012,11460160,0,1,Links to FNDDS,NA,0.27658
2011/2012,11460170,0,1,Links to FNDDS,NA,0.315179
2011/2012,11460250,0,1,Links to FNDDS,NA,0.513734
2011/2012,11460300,0,1,Links to FNDDS,NA,0.244015
2011/2012,11460410,0,1,Links to FNDDS,NA,0.643944
2011/2012,11480010,0,1,Links to FNDDS,NA,0.9772
2011/2012,11480020,0,1,Links to FNDDS,NA,0.77838
2011/2012,11511000,0,4,FNDDS recipe with modified SR codes,NA,0.229817
2011/2012,11511100,0,1,Links to FNDDS,NA,0.205839
2011/2012,11511200,0,1,Links to FNDDS,NA,0.2334
2011/2012,11511300,0,4,FNDDS recipe with modified SR codes,NA,0.10993
2011/2012,11511400,0,1,Links to FNDDS,NA,0.134892
2011/2012,11512000,0,4,FNDDS recipe with modified SR codes,NA,0.129848
2011/2012,11512510,0,4,FNDDS recipe with modified SR codes,NA,0.455439
2011/2012,11513100,0,4,FNDDS recipe with modified SR codes,NA,0.14407
2011/2012,11513150,0,4,FNDDS recipe with modified SR codes,NA,0.137379
2011/2012,11513200,0,4,FNDDS recipe with modified SR codes,NA,0.145644
2011/2012,11513500,0,4,FNDDS recipe with modified SR codes,NA,0.128438
2011/2012,11513550,0,4,FNDDS recipe with modified SR codes,NA,0.122118
2011/2012,11513600,0,4,FNDDS recipe with modified SR codes,NA,0.129925
2011/2012,11513700,0,4,FNDDS recipe with modified SR codes,NA,0.122051
2011/2012,11514100,0,4,FNDDS recipe with modified SR codes,NA,0.126789
2011/2012,11514300,0,4,FNDDS recipe with modified SR codes,NA,0.077401
2011/2012,11516000,0,4,FNDDS recipe with modified SR codes,NA,0.145974
2011/2012,11519040,0,1,Links to FNDDS,NA,0.249206
2011/2012,11519050,0,4,FNDDS recipe with modified SR codes,NA,0.158461
2011/2012,11519105,0,1,Links to FNDDS,NA,0.213319
2011/2012,11519200,0,4,FNDDS recipe with modified SR codes,NA,0.160035
2011/2012,11519205,0,4,FNDDS recipe with modified SR codes,NA,0.151588
2011/2012,11526000,0,4,FNDDS recipe with modified SR codes,NA,0.168993
2011/2012,11526000,201914,4,FNDDS recipe with modified SR codes,NA,0.172456
2011/2012,11526000,202280,4,FNDDS recipe with modified SR codes,NA,0.16574
2011/2012,11531000,0,1,Links to FNDDS,NA,0.264038
2011/2012,11531500,0,1,Links to FNDDS,NA,0.209316
2011/2012,11541120,0,4,FNDDS recipe with modified SR codes,NA,0.475288
2011/2012,11542100,0,1,Links to FNDDS,NA,1.154374
2011/2012,11542200,0,1,Links to FNDDS,NA,1.092649
2011/2012,11551050,0,2,Links to altEC,NA,0.510693
2011/2012,11553000,0,2,Links to altEC,NA,0.510693
2011/2012,11560000,0,1,Links to FNDDS,NA,0.152852
2011/2012,11561000,0,2,Links to altEC,NA,NA
2011/2012,11710000,0,2,Links to altEC,NA,NA
2011/2012,11710056,0,4,FNDDS recipe with modified SR codes,NA,0.805338
2011/2012,11710350,0,2,Links to altEC,NA,0.63287
2011/2012,11710351,0,2,Links to altEC,NA,0.742113
2011/2012,11710353,0,3,Original FNDDS recipe,NA,0.482135
2011/2012,11710354,0,3,Original FNDDS recipe,NA,0.630966
2011/2012,11710355,0,4,FNDDS recipe with modified SR codes,NA,0.647201
2011/2012,11710356,0,4,FNDDS recipe with modified SR codes,NA,0.647201
2011/2012,11710357,0,3,Original FNDDS recipe,NA,0.482491
2011/2012,11710358,0,4,FNDDS recipe with modified SR codes,NA,0.511749
2011/2012,11710359,0,4,FNDDS recipe with modified SR codes,NA,0.511749
2011/2012,11710371,0,1,Links to FNDDS,NA,NA
2011/2012,11710377,0,3,Original FNDDS recipe,NA,0.505012
2011/2012,11710378,0,4,FNDDS recipe with modified SR codes,NA,0.53414
2011/2012,11710379,0,4,FNDDS recipe with modified SR codes,NA,0.53414
2011/2012,11710471,0,1,Links to FNDDS,NA,0.835263
2011/2012,11710479,0,4,FNDDS recipe with modified SR codes,NA,0.650347
2011/2012,11710639,0,4,FNDDS recipe with modified SR codes,NA,0.537233
2011/2012,11710644,0,4,FNDDS recipe with modified SR codes,NA,NA
2011/2012,11710646,0,4,FNDDS recipe with modified SR codes,NA,NA
2011/2012,11710647,0,3,Original FNDDS recipe,NA,NA
2011/2012,11710648,0,4,FNDDS recipe with modified SR codes,NA,NA
2011/2012,11710649,0,4,FNDDS recipe with modified SR codes,NA,NA
2011/2012,11710651,0,1,Links to FNDDS,NA,NA
2011/2012,11710654,0,4,FNDDS recipe with modified SR codes,NA,0.980777
2011/2012,11710656,0,4,FNDDS recipe with modified SR codes,NA,0.997039
2011/2012,11710657,0,3,Original FNDDS recipe,NA,0.120893
2011/2012,11710658,0,4,FNDDS recipe with modified SR codes,NA,0.150151
2011/2012,11710659,0,4,FNDDS recipe with modified SR codes,NA,0.150151
2011/2012,11710664,0,3,Original FNDDS recipe,NA,0.526819
2011/2012,11710669,0,4,FNDDS recipe with modified SR codes,NA,0.55599
2011/2012,11710671,0,1,Links to FNDDS,NA,0.678609
2011/2012,11710677,0,3,Original FNDDS recipe,NA,0.535565
2011/2012,11710678,0,4,FNDDS recipe with modified SR codes,NA,0.564736
