parent_foodcode,parent_desc,ingred_code,ingred_desc,ingred_wt
11340000,"Imitation milk, non-soy, sweetened",43543.0,"Milk, imitation, non-soy",100.0
11460150,"Yogurt, frozen, NS as to flavor, lowfat milk",1298.0,"Yogurt, frozen, flavors other than chocolate, lowfat",100.0
11460160,"Yogurt, frozen, chocolate, lowfat milk",1117.0,"Yogurt, plain, low fat, 12 grams protein per 8 ounce",81.8
11460160,"Yogurt, frozen, chocolate, lowfat milk",19166.0,"Cocoa, dry powder, unsweetened, processed with alkali",5.199999999999999
11460160,"Yogurt, frozen, chocolate, lowfat milk",19335.0,"Sugars, granulated",13.0
11460170,"Yogurt, frozen, flavors other than chocolate, lowfat milk",1298.0,"Yogurt, frozen, flavors other than chocolate, lowfat",100.0
11460190,"Yogurt, frozen, NS as to flavor, nonfat milk",1118.0,"Yogurt, plain, skim milk, 13 grams protein per 8 ounce",44.0
11460190,"Yogurt, frozen, NS as to flavor, nonfat milk",19335.0,"Sugars, granulated",13.0
11460190,"Yogurt, frozen, NS as to flavor, nonfat milk",42185.0,"Frozen yogurts, chocolate, nonfat milk, sweetened without sugar",44.0
11460200,"Yogurt, frozen, chocolate, nonfat milk",42185.0,"Frozen yogurts, chocolate, nonfat milk, sweetened without sugar",100.0
11460250,"Yogurt, frozen, flavors other than chocolate, with sorbet or sorbet-coated",19088.0,"Ice creams, vanilla, light",70.0
11460250,"Yogurt, frozen, flavors other than chocolate, with sorbet or sorbet-coated",19263.0,"Frozen novelties, fruit and juice bars",30.0
11460300,"Yogurt, frozen, flavors other than chocolate, nonfat milk",1235.0,"Yogurt, frozen, flavors not chocolate, nonfat milk, with low-calorie sweetener",100.0
11460400,"Yogurt, frozen, chocolate, nonfat milk, with low-calorie sweetener",42185.0,"Frozen yogurts, chocolate, nonfat milk, sweetened without sugar",100.0
11460410,"Yogurt, frozen, flavors other than chocolate, nonfat milk, with low-calorie sweetener",1235.0,"Yogurt, frozen, flavors not chocolate, nonfat milk, with low-calorie sweetener",100.0
11460420,"Yogurt, frozen, NS as to flavor, whole milk",42187.0,"Frozen yogurts, flavors other than chocolate",100.0
11460430,"Yogurt, frozen, chocolate, whole milk",42186.0,"Frozen yogurts, chocolate",100.0
11460440,"Yogurt, frozen, flavors other than chocolate, whole milk",42187.0,"Frozen yogurts, flavors other than chocolate",100.0
