Nutrient,Nutrient Type,Unit,Constraint Type,Child_1_3,Female_4_8,Male_4_8,Female_9_13,Male_9_13,Female_14_18,Male_14_18,Female_19_30,Male_19_30,Female_31_50,Male_31_50,Female_51U,Male_51U
Energy,Macro,kcal,RDA,1000.0,1200.0,1400.0,1600.0,1800.0,1800.0,2200.0,2000.0,2400.0,1800.0,2200.0,1600.0,2000.0
Protein,Macro,g,RDA,13.0,19.0,19.0,34.0,34.0,46.0,52.0,46.0,56.0,46.0,56.0,46.0,56.0
Carbohydrate,Macro,g,RDA,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0
Dietary Fiber,Macro,g,RDA,14.0,16.8,19.6,22.4,25.2,25.2,30.8,28.0,33.6,25.2,30.8,22.4,28.0
Linoleic Acid,Macro,g,AI,7.0,10.0,10.0,10.0,12.0,11.0,16.0,12.0,17.0,12.0,17.0,11.0,14.0
Linolenic Acid,Macro,g,AI,0.7,0.9,0.9,1.0,1.2,1.1,1.6,1.1,1.6,1.1,1.6,1.1,1.6
Calcium,Mineral,mg,RDA,700.0,1000.0,1000.0,1300.0,1300.0,1300.0,1300.0,1000.0,1000.0,1000.0,1000.0,1200.0,1200.0
Iron,Mineral,mg,RDA,7.0,10.0,10.0,8.0,8.0,15.0,11.0,18.0,8.0,18.0,8.0,8.0,8.0
Magnesium,Mineral,mg,RDA,80.0,130.0,130.0,240.0,240.0,360.0,410.0,310.0,400.0,320.0,420.0,320.0,420.0
Phosphorus,Mineral,mg,RDA,460.0,500.0,500.0,1250.0,1250.0,1250.0,1250.0,700.0,700.0,700.0,700.0,700.0,700.0
Potassium,Mineral,mg,AI,3000.0,3800.0,3800.0,4500.0,4500.0,4700.0,4700.0,4700.0,4700.0,4700.0,4700.0,4700.0,4700.0
Sodium,Mineral,mg,UL,1500.0,1900.0,1900.0,2200.0,2200.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0
Zinc,Mineral,mg,RDA,3.0,5.0,5.0,8.0,8.0,9.0,11.0,8.0,11.0,8.0,11.0,8.0,11.0
Copper,Mineral,mg,RDA,0.34,0.44,0.44,0.7,0.7,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.9
Selenium,Mineral,mcg,RDA,20.0,30.0,30.0,40.0,40.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
Vitamin A,Vitamin,mcg,RDA,300.0,400.0,400.0,600.0,600.0,700.0,900.0,700.0,900.0,700.0,900.0,700.0,900.0
Vitamin E,Vitamin,mg,RDA,6.0,7.0,7.0,11.0,11.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
Vitamin D,Vitamin,mcg,RDA,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
Vitamin C,Vitamin,mg,RDA,15.0,25.0,25.0,45.0,45.0,65.0,75.0,75.0,90.0,75.0,90.0,75.0,90.0
Thiamin,Vitamin,mg,RDA,0.5,0.6,0.6,0.9,0.9,1.0,1.2,1.1,1.2,1.1,1.2,1.1,1.2
Riboflavin,Vitamin,mg,RDA,0.5,0.6,0.6,0.9,0.9,1.0,1.3,1.1,1.3,1.1,1.3,1.1,1.3
Niacin,Vitamin,mg,RDA,6.0,8.0,8.0,12.0,12.0,14.0,16.0,14.0,16.0,14.0,16.0,14.0,16.0
Vitamin B6,Vitamin,mg,RDA,0.5,0.6,0.6,1.0,1.0,1.2,1.3,1.3,1.3,1.3,1.3,1.5,1.7
Vitamin B12,Vitamin,mcg,RDA,0.9,1.2,1.2,1.8,1.8,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
Choline,Vitamin,mg,AI,200.0,250.0,250.0,375.0,375.0,400.0,550.0,425.0,550.0,425.0,550.0,425.0,550.0
Vitamin K,Vitamin,mcg,AI,30.0,55.0,55.0,60.0,60.0,75.0,75.0,90.0,120.0,90.0,120.0,90.0,120.0
Folate,Vitamin,mcg,RDA,150.0,200.0,200.0,300.0,300.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
